caseId,ACBarrett,AFortas,AMKennedy,AScalia,BMKavanaugh,BRWhite,CEWhittaker,CThomas,DHSouter,EKagan,EWarren,FFrankfurter,FMVinson,FMurphy,HABlackmun,HHBurton,HLBlack,JGRoberts,JHarlan2,JPStevens,KBJackson,LFPowell,NMGorsuch,PStewart,RBGinsburg,RHJackson,SAAlito,SDOConnor,SFReed,SGBreyer,SMinton,SSotomayor,TCClark,TMarshall,WBRutledge,WEBurger,WHRehnquist,WJBrennan,WODouglas
2001-020,,,1.0,0.0,,,,0.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,1.0,,
2001-023,,,1.0,0.0,,,,1.0,1.0,,,,,,,,,,,0.0,,,,,1.0,,,0.0,,1.0,,,,,,,1.0,,
2001-026,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,,,0.0,,,,,1.0,,,1.0,,0.0,,,,,,,1.0,,
2001-029,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,0.0,,,,,1.0,,,1.0,,1.0,,,,,,,1.0,,
2001-030,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,,,1.0,,,,,0.0,,,0.0,,0.0,,,,,,,1.0,,
2001-032,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,0.0,,,,,,,1.0,,
2001-033,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,,,0.0,,,,,0.0,,,1.0,,0.0,,,,,,,1.0,,
2001-034,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,,,0.0,,,,,0.0,,,1.0,,0.0,,,,,,,1.0,,
2001-038,,,1.0,0.0,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,0.0,,1.0,,,,,,,0.0,,
2001-039,,,1.0,0.0,,,,0.0,1.0,,,,,,,,,,,0.0,,,,,1.0,,,1.0,,1.0,,,,,,,1.0,,
2001-040,,,1.0,0.0,,,,0.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,0.0,,
2001-041,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,0.0,,,,,0.0,,,1.0,,0.0,,,,,,,0.0,,
2001-042,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,,,1.0,,,,,0.0,,,1.0,,1.0,,,,,,,1.0,,
2001-044,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,,,0.0,,,,,0.0,,,1.0,,0.0,,,,,,,1.0,,
2001-045,,,1.0,0.0,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,0.0,,0.0,,,,,,,1.0,,
2001-046,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,0.0,,,,,1.0,,,1.0,,1.0,,,,,,,1.0,,
2001-049,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,0.0,,1.0,,,,,,,1.0,,
2001-050,,,0.0,0.0,,,,0.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,0.0,,
2001-051,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,0.0,,,,,1.0,,,1.0,,1.0,,,,,,,1.0,,
2001-053,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,,,0.0,,,,,0.0,,,1.0,,0.0,,,,,,,1.0,,
2001-054,,,1.0,0.0,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,1.0,,
2001-057,,,0.0,0.0,,,,0.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,1.0,,
2001-058,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,,,0.0,,,,,0.0,,,1.0,,0.0,,,,,,,1.0,,
2001-061,,,0.0,0.0,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,0.0,,1.0,,,,,,,0.0,,
2001-063,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,0.0,,
2001-065,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,,,0.0,,,,,0.0,,,1.0,,1.0,,,,,,,1.0,,
2001-066,,,0.0,0.0,,,,0.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,0.0,,
2001-067,,,1.0,0.0,,,,0.0,0.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,1.0,,
2001-070,,,1.0,0.0,,,,0.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,0.0,,
2001-071,,,0.0,0.0,,,,0.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,0.0,,
2001-073,,,1.0,0.0,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,0.0,,1.0,,,,,,,1.0,,
2001-074,,,0.0,0.0,,,,0.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,0.0,,1.0,,,,,,,1.0,,
2001-076,,,1.0,1.0,,,,0.0,0.0,,,,,,,,,,,0.0,,,,,0.0,,,1.0,,1.0,,,,,,,1.0,,
2001-077,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,0.0,,1.0,,,,,,,0.0,,
2001-080,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,,,0.0,,,,,0.0,,,1.0,,0.0,,,,,,,1.0,,
2001-081,,,1.0,0.0,,,,0.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,0.0,,
2001-082,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,,,0.0,,,,,0.0,,,1.0,,0.0,,,,,,,1.0,,
2001-083,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,,,0.0,,,,,0.0,,,0.0,,1.0,,,,,,,1.0,,
2001-086,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,0.0,,1.0,,,,,,,1.0,,
2002-009,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,0.0,,1.0,,,,,,,1.0,,
2002-010,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,0.0,,,,,1.0,,,1.0,,1.0,,,,,,,1.0,,
2002-011,,,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,0.0,,,,,0.0,,,0.0,,0.0,,,,,,,0.0,,
2002-012,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,,,0.0,,,,,0.0,,,1.0,,0.0,,,,,,,1.0,,
2002-014,,,1.0,0.0,,,,0.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,0.0,,1.0,,,,,,,1.0,,
2002-015,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,0.0,,,,,1.0,,,1.0,,0.0,,,,,,,1.0,,
